id,pid,name,url,target,relative,icon,seq,enable,visible
1,0,,,,,,,0,
2,0,,,,,,,1,
4,2,,/admin/staff-login,,,,,1,
6,1,,/admin/staff,,,,1,1,
7,1,,/admin/department,,,,,1,
8,2,,/admin/role,,,,,1,
9,2,,/admin/menu,,,,,1,
10,2,,/admin/function,,,,,1,
11,2,,/admin/code,,,,6,1,
12,2,,/admin/role-staff,,,,1,1,
16,2,,/admin/task,_self,,,14,1,
17,2,,/druid/index.html,_blank,,,90,1,
27,0,,,_self,,,0,1,
48,27,,/admin/user,_self,,,1,1,
31,32,,/user/index,_self,,icon-home4,0,1,
32,27,,/user/withdraw,_self,,,100,1,
33,32,,/user/password,_self,,icon-pencil3,9,1,
34,32,,/user/logout,_self,,icon-switch2,10,1,
